day,value
2017-09-04,605463.0145723392
2017-09-11,702484.275486385
2017-09-18,882529.3024608532
2017-09-25,908621.3921085907
2017-10-02,953667.5524485327
2017-10-09,941234.4456477734
2017-10-16,938926.5292040433
2017-10-23,959136.6339050387
2017-10-30,956975.239263201
2017-11-06,1022843.7780460144
2017-11-13,1005322.8933640895
2017-11-20,948310.8829790085
2017-11-27,1039915.7098972079
2017-12-04,1081105.2125357469
2017-12-11,1193075.2212513038
2017-12-18,1243609.3743479536
2017-12-25,1431058.573314241
2018-01-01,1417166.761668517
2018-01-08,1320541.012813206
2018-01-15,1180304.7278047607
2018-01-22,1170640.8542446592
2018-01-29,1133976.7302493479
2018-02-05,1228597.4789769943
2018-02-12,1189166.4100267293
2018-02-19,1071404.0366632962
2018-02-26,963896.2414862383
2018-03-05,903182.899032555
2018-03-12,905521.0379458249
2018-03-19,910495.6843768284
2018-03-26,908659.2751124761
2018-04-02,877093.1092560606
2018-04-09,830999.6339192586
2018-04-16,782092.9043774841
2018-04-23,732567.995536928
2018-04-30,678931.3409412855
2018-05-07,674857.2801934109
2018-05-14,668787.9103280661
2018-05-21,653579.7308269003
2018-05-28,606525.5286877276
2018-06-04,570032.719091003
2018-06-11,585147.3510025748
2018-06-18,534164.7124550871
2018-06-25,554795.8612104537
2018-07-02,527907.441229065
2018-07-09,511259.9877130112
2018-07-16,482086.94153789
2018-07-23,443851.0585346845
2018-07-30,451054.83309167513
2018-08-06,442061.13763184834
2018-08-13,478981.20619198
2018-08-20,539074.2541588232
2018-08-27,579079.7349672229
2018-09-03,588267.90330531
2018-09-10,710214.9372259615
2018-09-17,814695.7288618392
2018-09-24,944207.4152252262
2018-10-01,1078992.2656725906
2018-10-08,1021125.3758064115
2018-10-15,1061596.938197811
2018-10-22,1026375.7355268396
2018-10-29,972749.9993615472
2018-11-05,917813.8438257219
2018-11-12,970274.2493354309
2018-11-19,999111.8443258872
2018-11-26,1082428.181773557
2018-12-03,1113115.0756824815
2018-12-10,1159109.7268269856
2018-12-17,1231786.4319639944
2018-12-24,1331951.899639358
2018-12-31,1302057.9398376825
2019-01-07,1248332.6745831033
2019-01-14,1176799.6550374732
2019-01-21,1029791.20186845
2019-01-28,1038726.1302673679
2019-02-04,987863.754876727
2019-02-11,978919.0782976758
2019-02-18,971255.5891649361
2019-02-25,870697.6690374927
2019-03-04,875540.0314198296
2019-03-11,909664.8520902977
2019-03-18,870674.7649336156
2019-03-25,868977.4023251291
2019-04-01,892732.0914775439
2019-04-08,836496.2880603598
2019-04-15,785882.2424323095
2019-04-22,746466.0919256778
2019-04-29,769315.1091475426
2019-05-06,763149.5853657206
2019-05-13,795572.3349649893
2019-05-20,822368.6068590449
2019-05-27,755089.0172417188
2019-06-03,711153.384557981
2019-06-10,695967.9422767346
2019-06-17,635762.0216590562
2019-06-24,635922.9044761104
2019-07-01,600380.1992054727
2019-07-08,565078.4702524506
2019-07-15,547403.1279828235
2019-07-22,476507.8525152364
2019-07-29,490240.0476289862
2019-08-05,501655.4002501323
2019-08-12,523783.9823722021
2019-08-19,573093.8010383954
2019-08-26,604359.1251093772
2019-09-02,674771.1809329642
2019-09-09,764325.1964897902
2019-09-16,984920.8507909928
2019-09-23,1089517.644307479
2019-09-30,1102404.5061202429
2019-10-07,1108520.9137270623
2019-10-14,1038736.5126253639
2019-10-21,984396.168354916
2019-10-28,993227.2443089985
2019-11-04,1039136.1452444415
2019-11-11,996851.1463160929
2019-11-18,999520.7482426815
2019-11-25,1003051.9640774231
2019-12-02,1029800.4310945468
2019-12-09,1130172.367660062
2019-12-16,1159600.015091592
2019-12-23,1320014.2805743031
2019-12-30,1428691.1265123838
2020-01-06,1372784.4081565377
2020-01-13,1142111.2678122695
2020-01-20,1103121.586686188
2020-01-27,1124001.2255181835
2020-02-03,1162383.64514283
2020-02-10,1094921.0656792265
2020-02-17,1038693.8192007506
2020-02-24,994572.1835855616
2020-03-02,1100607.3949014577
2020-03-09,1742123.600056489
2020-03-16,2045971.6081234193
2020-03-23,1227053.6063263814
2020-03-30,958583.6012208855
2020-04-06,636186.1128525315
2020-04-13,454902.42855691793
2020-04-20,380568.32122732006
2020-04-27,454333.709842994
2020-05-04,428246.47514428064
2020-05-11,388224.22223880386
2020-05-18,398499.2984895665
2020-05-25,364431.8706917635
2020-06-01,349834.6031069429
2020-06-08,330257.9813361173
2020-06-15,311431.2693609359
